"加入 NaOH (mL)","剩余盐酸 (mL)","过量 NaOH (mL)","溶液总体积 (mL)","[H+] (mol/L)","pH"
0.,20.,0.,20.,0.1,1.
10.,10.,0.,30.,0.03333333333333334,1.4771212547196624
18.,2.,0.,38.,0.0052631578947368324,2.2787536009528297
19.8,0.1999999999999993,0.,39.8,0.0005025125628140608,3.298853076409715
19.98,0.019999999999999574,0.,39.980000000000004,0.00005002501250624892,4.300812794118153
20.,0.,0.,40.,1.e-7,7.
20.02,0.,0.019999999999999574,40.019999999999996,2.0010000000001681e-10,9.698752911363751
20.2,0.,0.1999999999999993,40.2,2.0099999999999945e-11,10.696803942579512
22.,0.,2.,42.,2.0999999999999987e-12,11.67778070526608
30.,0.,10.,50.,5.e-13,12.301029995663981
40.,0.,20.,60.,2.9999999999999993e-13,12.522878745280337
